Temperature Wrist,Temperature Forehead
33.85,36.80999
33.29,36.23
32.73001,35.39001
33.77001,36.73
33.05001,35.91
33.91,36.83001
32.89001,35.61001
33.20998,36.13
33.69,36.67001
33.89001,36.83001
33.05001,35.91
33.39001,36.30999
32.85,35.55001
33.74999,36.68999
33.69,36.67001
33.64999,36.63
33.02999,35.91
33.68999,36.67001
33.69,36.67001
33.89001,36.83001
33.64999,36.63
33.80999,36.77001
33.33001,36.27001
33.80999,36.77001
33.92999,36.85
33.05001,35.91
33.73001,36.68999
33.73,36.68999
33.79,36.74999
32.95001,35.77001
32.89001,35.58999
33.64999,36.63
32.77001,35.42999
32.46999,35.23
33.27001,36.18999
33.52999,36.46999
33.27001,36.20998
33.41,36.39001
33.17001,36.07
33.69,36.67001
33.42999,36.39001
33.55001,36.51
32.89001,35.63
33.57,36.52999
33.86999,36.80999
33.55001,36.51
33.64999,36.63
33.77001,36.70998
32.91,35.70998
33.52999,36.46999
33.86999,36.80999
33.83001,36.77001
33.77001,36.73
33.45001,36.41
33.96999,36.89001
33.89001,36.80999
33.55001,36.51
33.67001,36.64999
32.67001,35.36999
33.17001,36.05001
32.89001,35.68999
33.97,36.92999
33.99002,36.96999
33.05001,35.92999
33.85,36.80999
33.61001,36.61001
32.91,35.68999
33.18999,36.08999
33.74999,36.68999
32.63,35.29
33.14999,36.02999
33.74999,36.68999
33.64999,36.63
33.63,36.61001
33.99002,36.92999
33.57,36.55001
33.63,36.61001
32.46999,35.23
33.05001,35.95
33.64999,36.63
32.91,35.70998
33.49002,36.42999
32.97,35.77001
32.30999,35.17001
33.57,36.52999
33.05001,35.92999
33.20998,36.13
33.86999,36.80999
33.64999,36.63
33.57,36.52999
33.74999,36.68999
33.49001,36.42999
33.95001,36.83001
33.92999,36.77001
33.86999,36.73
33.83001,36.73
33.80999,36.67001
33.80999,36.64999
33.77001,36.64999
33.74999,36.63
33.73001,36.63
33.70999,36.63
33.69,36.61001
33.69,36.61001
33.64999,36.61001
33.64999,36.61001
33.64999,36.57
33.57,36.57
33.57,36.57
33.57,36.57
33.51,36.57
33.49002,36.55001
33.49002,36.51
33.45001,36.51
33.42999,36.51
33.30999,36.24999
33.77001,36.68999
33.39001,36.33001
33.74999,36.68999
33.70998,36.67001
33.51,36.46999
33.61001,36.61001
33.92999,36.85
33.05001,35.92999
33.61001,36.61001
33.74999,36.68999
33.77001,36.70998
33.57,36.52999
32.70999,35.36999
33.80999,36.74999
33.64999,36.63
33.41,36.35
33.30999,36.24999
33.95,36.89001
32.99002,35.86999
33.89001,36.83001
33.80999,36.74999
33.64999,36.63
33.73001,36.68999
32.67001,35.33001
33.89001,36.83001
32.89001,35.68999
32.95001,35.77001
33.30999,36.24999
33.83001,36.77001
33.11001,35.99001
33.70998,36.67001
33.89001,36.80999
32.63,35.29
33.95001,36.89001
33.58999,36.58999
33.33001,36.27001
33.63,36.63
33.57,36.57
33.58999,36.57
33.64999,36.63
33.46999,36.42999
32.97,35.80999
33.83001,36.77001
33.45,36.41
33.07,35.96999
33.86999,36.80999
33.64999,36.63
33.58999,36.57
33.29,36.23
33.73001,36.68999
33.73001,36.68999
32.97,35.79
33.39001,36.29
33.57,36.55001
32.89001,35.61001
32.89001,35.63
33.02999,35.91
33.99002,36.96999
33.52999,36.49001
33.99002,36.92999
33.77001,36.70998
33.92999,36.85
33.69,36.67001
33.57,36.52999
32.89001,35.67001
32.64999,35.30999
33.80999,36.77001
32.97,35.80999
33.68999,36.67001
33.97,36.89001
33.52999,36.46999
33.13,36.02999
33.92999,36.85
32.91,35.68999
33.27001,36.20998
33.57,36.52999
33.95001,36.89001
33.57,36.55001
32.30999,35.17001
33.05001,35.96999
33.74999,36.68999
34.02999,36.99001
32.89001,35.63
33.13,36.01
33.74999,36.68999
33.77001,36.68999
33.33001,36.27001
33.67001,36.63
33.11001,35.99001
33.64999,36.63
33.89001,36.83001
33.95001,36.89001
33.89001,36.83001
33.69,36.67001
33.67001,36.63
33.86999,36.80999
33.64999,36.63
33.77001,36.70998
33.92999,36.85
33.68999,36.67001
33.89001,36.83001
33.57,36.52999
33.07,35.96999
32.99002,35.89001
32.91,35.70998
33.80999,36.77001
33.74999,36.68999
33.92999,36.85
33.79,36.74999
32.91,35.74999
33.11001,35.99001
33.73001,36.68999
33.55001,36.51
33.73001,36.68999
33.39001,36.33001
33.92999,36.85
33.85,36.80999
33.95,36.85
33.61001,36.61001
33.18999,36.07
33.20998,36.08999
33.27001,36.20998
33.45001,36.42999
33.57,36.55001
33.29,36.24999
33.02999,35.91
33.91,36.83001
33.18999,36.07
33.42999,36.41
33.58999,36.58999
33.97,36.92999
33.08999,35.96999
33.42999,36.39001
33.73001,36.68999
33.05001,35.96999
33.20999,36.13
32.97,35.83001
33.57,36.55001
32.67001,35.33001
33.30999,36.24999
33.91,36.83001
32.95,35.77001
33.55001,36.52999
33.95001,36.89001
33.45001,36.41
33.61001,36.61001
33.85,36.79
33.05001,35.92999
32.99002,35.85
33.64999,36.63
33.41,36.39001
33.20998,36.08999
33.27001,36.23
33.95001,36.89001
33.67001,36.63
33.17001,36.05001
33.86999,36.80999
33.68999,36.67001
33.68999,36.67001
33.39001,36.29
33.73001,36.68999
33.96999,36.89001
33.80999,36.77001
33.27001,36.20998
33.69,36.67001
33.05001,35.91
33.57,36.52999
33.52999,36.46999
33.55001,36.51
33.77001,36.70998
33.91,36.83001
33.85,36.79
32.91,35.70998
33.52999,36.51
33.61001,36.58999
33.27001,36.20998
32.97,35.83001
33.45001,36.42999
32.99002,35.89001
33.18999,36.08999
32.77001,35.41
33.67001,36.64999
33.57,36.55001
33.52999,36.49001
32.77001,35.45
33.17001,36.07
32.33001,35.17001
33.80999,36.77001
32.99002,35.89001
33.07,35.96999
33.89001,36.83001
32.89001,35.64999
33.41,36.36999
32.67001,35.33001
33.24999,36.14999
32.99001,35.85
32.91,35.77001
33.85,36.80999
33.42999,36.39001
33.83001,36.77001
33.17001,36.07
33.20999,36.13
33.64999,36.63
32.85,35.52999
33.20998,36.13
33.05001,35.95
33.89001,36.83001
32.97,35.85
33.07,35.96999
33.85,36.80999
33.80999,36.77001
33.18999,36.08999
33.73001,36.68999
33.77001,36.70998
32.89001,35.68999
33.70998,36.67001
33.19,36.08999
33.67001,36.63
32.83001,35.49001
33.11001,35.99001
32.97,35.83001
33.57,36.52999
33.51,36.45
32.91,35.70998
33.79,36.74999
32.89001,35.68999
33.77001,36.68999
33.67001,36.64999
33.77001,36.68999
33.33001,36.27001
33.89001,36.83001
32.91,35.68999
33.77001,36.70998
33.49002,36.45
33.95,36.85
32.91,35.73
33.80999,36.77001
32.97,35.83001
33.74999,36.68999
32.64999,35.30999
32.97,35.83001
33.42999,36.41
33.58999,36.58999
33.61001,36.61001
33.89001,36.83001
33.51,36.45
32.70999,35.39001
33.91,36.83001
33.89001,36.83001
33.77001,36.68999
33.13,36.01
33.67001,36.63
33.39001,36.30999
33.33001,36.27001
33.13,36.01
33.39001,36.30999
33.24999,36.14999
33.51,36.45
33.49001,36.42999
33.13,36.01
32.33001,35.20998
33.55001,36.51
33.73001,36.68999
33.92999,36.85
33.83001,36.77001
33.91,36.83001
33.63,36.61001
33.85,36.79
32.85,35.51
33.13,35.99001
33.89001,36.83001
33.17001,36.05001
33.58999,36.58999
33.49001,36.42999
33.20998,36.08999
32.97,35.83001
33.80999,36.74999
33.91,36.83001
33.58999,36.58999
33.96999,36.89001
33.80999,36.74999
33.39001,36.30999
33.11001,35.99001
33.83001,36.77001
33.08999,35.99001
33.91,36.83001
33.27001,36.20998
33.86999,36.80999
33.89001,36.83001
33.83001,36.77001
33.80999,36.77001
32.99002,35.85
33.92999,36.85
33.11001,35.99001
32.97,35.83001
33.58999,36.57
33.85,36.80999
33.57,36.52999
32.67001,35.33001
33.27001,36.18999
32.83001,35.46999
33.52999,36.49001
33.17001,36.07
33.61001,36.58999
33.77001,36.70998
33.05001,35.92999
33.80999,36.74999
33.17001,36.05001
32.63,35.29
33.73001,36.68999
33.18999,36.08999
32.99002,35.89001
33.73001,36.68999
33.11001,35.99001
33.14999,36.02999
33.29,36.23
33.55001,36.52999
33.70999,36.67001
33.77001,36.70998
33.07,35.96999
33.63,36.63
32.99002,35.89001
32.97,35.80999
33.67001,36.64999
33.63,36.63
33.17001,36.05001
32.97,35.83001
33.42999,36.41
33.30999,36.24999
33.20998,36.13
33.42999,36.39001
32.99001,35.85
33.57,36.52999
33.13,36.01
32.89001,35.68999
33.05001,35.92999
33.97,36.89001
32.99002,35.91
33.17001,36.07
33.67001,36.63
33.41,36.39001
33.57,36.55001
33.69,36.67001
33.17001,36.05001
33.24999,36.14999
33.13,36.01
32.79,35.45
33.18999,36.07
33.57,36.55001
33.64999,36.63
32.91,35.70998
33.95,36.89001
33.57,36.55001
33.08999,35.96999
33.55001,36.51
32.91,35.68999
33.64999,36.63
33.41,36.39001
33.77001,36.68999
33.91,36.83001
33.05001,35.92999
33.58999,36.58999
33.77001,36.70998
33.89001,36.83001
33.73001,36.68999
32.97,35.83001
33.80999,36.77001
33.51,36.45
33.05001,35.91
33.05001,35.91
33.77001,36.70998
33.79,36.74999
33.52999,36.49001
33.29,36.23
33.18999,36.08999
33.77001,36.70998
33.41,36.39001
33.08999,35.99001
33.64999,36.63
33.61001,36.61001
33.27001,36.20998
33.05001,35.95
33.39001,36.33001
33.83001,36.77001
33.23001,36.14999
32.99001,35.85
33.69,36.67001
33.13,35.99001
33.61001,36.61001
33.83001,36.77001
33.64999,36.63
33.83001,36.79
32.99002,35.85
32.89001,35.57
32.95001,35.77001
33.63,36.61001
33.85,36.79
33.92999,36.85
33.30999,36.24999
32.85,35.51
33.80999,36.77001
33.89001,36.83001
