Temperature Wrist,Temperature Forehead,Temperature Body
32.79,37.29001,36
33.11001,36.31,36
33.14999,36.45001,36
33.05001,36.35001,36
33.35,37.29001,36
33.17001,36.53,36
33.11001,36.31,36.3
33.05001,36.39001,36.3
32.46999,37.09,36.3
32.89001,37.29001,36.3
32.85,37.29001,36.3
33.24999,36.53,36.3
32.96999,37.23001,36.4
33.05001,36.09,36.4
32.68999,37.19,36.4
33.17001,37.29001,36.4
33.05001,36.45001,36.4
32.96999,36.31,36.4
33.01,36.32999,36.4
33.01,36.48999,36.4
32.89001,37.26999,36.4
32.96999,37.23001,36.4
32.96999,37.26999,36.4
32.96999,36.37,36.4
32.85,36.31,36.3
32.95,36.45001,36.3
32.79,37.29001,36.3
32.79,37.25,36.3
32.95,36.31,36.3
33.01,36.10999,36.3
32.79,37.20999,36.1
32.79,37.20999,36.1
32.35,37.23001,36.1
32.79,36.31,36.1
32.83001,36.31,36.1
32.86999,37.23001,36.1
32.77001,37.25,35.9
32.86999,36.32999,35.9
32.68999,37.23001,35.9
32.77001,37.20999,35.9
32.33001,37.13,35.9
32.77001,36.03,35.9
32.68999,37.20999,36
32.46999,37.17001,36
32.57,37.19,36
32.67001,37.20999,36
32.63,37.19,36
32.74999,37.23001,36
32.33001,37.14999,36
32.33001,36.85001,36
32.46999,37.17001,36
32.52999,37.14999,36
32.63,37.17001,36
32.33001,37.10999,36
32.46999,37.29001,36.1
32.52999,36.32999,36.1
33.91,36.82999,36.1
32.46999,37.17001,36.1
32.39001,37.10999,36.1
32.30999,37.03,36.1
32.30999,37.19,36.2
32.30999,36.89001,36.2
32.46999,37.14999,36.2
32.17001,36.76999,36.2
32.39001,37.10999,36.2
32.39001,37.14999,36.2
32.46999,37.14999,36.5
32.30999,37.01001,36.5
32.45,37.17001,36.5
32.30999,37.10999,36.5
32.45,37.14999,36.5
32.39001,37.10999,36.5
32.24999,36.73001,36.4
32.14999,37.17001,36.4
32.30999,37.09,36.4
32.36999,37.17001,36.4
32.24999,36.89001,36.4
32.30999,37.09,36.4
32.14999,36.95001,36.3
33.85,36.82999,36.3
32.24999,36.95001,36.3
32.23,37.01001,36.3
33.85,36.73001,36.3
32.11001,36.91,36.3
32.30999,37.10999,36.5
32.30999,37.10999,36.5
33.46999,37.14999,36.5
33.96999,36.54999,36.5
33.64999,36.01001,36.5
33.52999,36.63,36.5
32.36999,37.17001,36
33.52999,36.69,36
